row_id,split,transcript_id,text_clean,subcluster_id,ax3_subcluster_name,ax3_subcluster_status
work_0647::13,workforce,work_0647,"I'll keep using it to assist with coding tasks, research, as well as learning new languages. I may use it to help me make an app for a side project.",0,Intégration progressive de l'IA dans le travail,periphery
work_0651::12,workforce,work_0651,"No, I think that using AI will be the new skill, but it won't take over my work",0,Intégration progressive de l'IA dans le travail,periphery
work_0667::9,workforce,work_0667,"I think I will continue to use it for brainstorming ideas, but will always be weary of it for factual knowledge and communications.",0,Intégration progressive de l'IA dans le travail,periphery
work_0682::17,workforce,work_0682,I have been using it more. I will continue to use it as a resource.,0,Intégration progressive de l'IA dans le travail,periphery
work_0719::9,workforce,work_0719,"I think it will be used increasingly, but at a very slow pace, as my company becomes more and more comfortable with it. It will take a long time and a lot of safeguards first.",0,Intégration progressive de l'IA dans le travail,periphery
work_0735::9,workforce,work_0735,I think I will stick to using it for the tasks I do now. My reasoning goes back to wanting to maintain my critical thinking and writing skills.,0,Intégration progressive de l'IA dans le travail,periphery
work_0745::15,workforce,work_0745,"I want to see it integrated more at work, if not by me then by management. I don't think it will happen any time soon though, these things seem to take a long time.",0,Intégration progressive de l'IA dans le travail,periphery
work_0756::11,workforce,work_0756,"At the moment, I don't see using it for much more. I've pretty much integrated it in every way I think is reliable and worthwhile at this point.",0,Intégration progressive de l'IA dans le travail,periphery
work_0758::15,workforce,work_0758,I will use it more and more and it will eliminate some of the more mundane tasks so that I can focus on personalising learning more,0,Intégration progressive de l'IA dans le travail,periphery
work_0774::11,workforce,work_0774,i see it mostly staying the same in the short to mid term. long term there is no telling as advancements occur at a rapid pace. i would like to leverage it to help me automate more tasks in the future by having it streamline the programming process for me,0,Intégration progressive de l'IA dans le travail,periphery
work_0780::12,workforce,work_0780,I imagine it will continue to become more and more engrained into my daily work and understanding the various options available and best ways to utilize them will be increasingly important,0,Intégration progressive de l'IA dans le travail,periphery
work_0802::10,workforce,work_0802,"I've thought of it. Ultimately, I feel that's the way progress is, and sometimes it leads to things like job loss. I think it'll be a while before that happens still, so I'm not too concerned.",0,Intégration progressive de l'IA dans le travail,periphery
work_0904::9,workforce,work_0904,It might change as the technology develops but for the near future I see myself using it in the same way I have been using it until now.,0,Intégration progressive de l'IA dans le travail,periphery
work_0908::9,workforce,work_0908,"I envision being able to use it more to assist with brainstorming ways to expand services beyond what I currently offer. Also, I envision being able to educate others on how to use it as a brainstorming tool.",0,Intégration progressive de l'IA dans le travail,periphery
work_0981::9,workforce,work_0981,"I think I'll use it more for research as the capability evolves. I don't believe I'll ever use it for personal messages and creative labor, like figuring out how to redesign my room or something.",0,Intégration progressive de l'IA dans le travail,periphery
work_0983::8,workforce,work_0983,"I see it as helping me achieve more than I could ever achieve on my own. I learn a lot from it, despite it often doing the heavy lifting.",0,Intégration progressive de l'IA dans le travail,periphery
work_0996::13,workforce,work_0996,"I hope to keep using it as a tool, but will avoid leaning on it too heavily in order to avoid blunting my skill set.",0,Intégration progressive de l'IA dans le travail,periphery
